film_title,brand,box_office_revenue,opening_revenue,release_date,opening_revenue_over_total_revenue,imdb_score,rt_critics_score,rt_audience_score
Cruella,Disney Live Action Remake,"$86,103,234 ","$21,496,997 ",5/28/2021,25,7.3,75,97
Christopher Robin,Disney Live Action Remake,"$99,215,042 ","$24,585,139 ",8/3/2018,25,7.2,72,83
Cars,Pixar,"$244,082,982 ","$60,119,509 ",6/9/2006,25,7.2,75,80
Planes,Disney Animated Feature,"$90,288,712 ","$22,232,291 ",8/9/2013,25,5.7,25,49
101 Dalmatians,Disney Live Action Remake,"$136,189,294 ","$33,504,025 ",11/27/1996,25,5.7,39,40
"Monsters, Inc.",Pixar,"$255,873,250 ","$62,577,067 ",11/2/2001,25,8.1,96,90
Tangled,Disney Animated Feature,"$200,821,936 ","$48,767,052 ",11/24/2010,24,7.7,89,87
Lilo & Stitch,Disney Animated Feature,"$145,794,338 ","$35,260,212 ",6/21/2002,24,7.3,86,77
Coco,Pixar,"$210,460,015 ","$50,802,605 ",11/22/2017,24,8.4,97,94
Spider-Man: Far from Home,Marvel,"$390,532,085 ","$92,579,212 ",7/2/2019,24,7.5,90,95
Up,Pixar,"$293,004,164 ","$68,108,790 ",5/29/2009,23,8.3,98,90
Bolt,Disney Animated Feature,"$114,053,579 ","$26,223,128 ",11/21/2008,23,6.8,89,74
Ratatouille,Pixar,"$206,445,654 ","$47,027,395 ",6/29/2007,23,8.1,96,87
Moana,Disney Animated Feature,"$248,757,044 ","$56,631,401 ",11/23/2016,23,7.6,95,89
Zootopia,Disney Animated Feature,"$341,268,248 ","$75,063,401 ",3/4/2016,22,8,98,92
A Christmas Carol,Disney Animated Feature,"$137,855,863 ","$30,051,075 ",11/6/2009,22,6.8,52,58
The Hunchback of Notre Dame,Disney Animated Feature,"$100,138,851 ","$21,037,414 ",6/21/1996,21,7,71,70
Finding Nemo,Pixar,"$339,714,978 ","$70,251,710 ",5/30/2003,21,8.2,99,86
Tarzan,Disney Animated Feature,"$171,091,819 ","$34,221,968 ",6/16/1999,20,7.3,89,75
Elemental,Pixar,"$154,426,697 ","$29,602,429 ",6/16/2023,19,7,74,93
Mulan,Disney Animated Feature,"$120,620,254 ","$22,745,143 ",6/19/1998,19,7.7,86,85
Raya And The Last Dragon,Disney Animated Feature,"$54,723,032 ","$8,502,498 ",3/5/2021,16,7.3,94,97
Toy Story,Pixar,"$191,796,233 ","$29,140,617 ",11/22/1995,15,8.3,100,92
The Jungle Book (1994),Disney Live Action Remake,"$43,229,904 ","$5,129,959 ",12/25/1994,12,6,80,56
The Emperor's New Groove,Disney Animated Feature,"$89,302,687 ","$9,812,302 ",12/15/2000,11,7.4,86,84
The Little Mermaid (1989),Disney Animated Feature,"$111,543,479 ","$6,031,914 ",11/17/1989,5,7.6,93,88
Fantasia 2000,Disney Animated Feature,"$60,655,420 ","$2,290,525 ",1/1/2000,4,7.1,80,75
Pocahontas,Disney Animated Feature,"$141,579,773 ","$2,689,714 ",6/16/1995,2,6.7,55,64
The Princess and the Frog,Disney Animated Feature,"$104,400,899 ","$786,190 ",11/25/2009,1,7.1,85,74
Atlantis: The Lost Empire,Disney Animated Feature,"$84,056,472 ","$329,011 ",6/8/2001,0,6.9,49,54
The Lion King,Disney Animated Feature,"$422,783,777 ","$1,586,753 ",6/15/1994,0,8.5,94,93
Brother Bear,Disney Animated Feature,"$85,336,277 ","$291,940 ",10/24/2003,0,6.8,37,65
Hercules,Disney Animated Feature,"$99,112,101 ","$249,567 ",6/15/1997,0,7.3,84,76
A Bug's Life,Pixar,"$162,798,565 ","$291,121 ",11/20/1998,0,7.2,92,72
Toy Story 2,Pixar,"$245,852,179 ","$300,163 ",11/19/1999,0,7.9,100,87
Beauty and the Beast,Disney Animated Feature,"$145,863,363 ","$162,146 ",11/15/1991,0,7.3,94,92
Aladdin,Disney Animated Feature,"$217,350,219 ","$196,664 ",11/13/1992,0,8,95,92
Frozen,Disney Animated Feature,"$400,738,009 ","$243,390 ",11/22/2013,0,7.4,90,85
